month,state,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,rentals_handgun,rentals_long_gun,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals
7/1/2006,Arizona,2461,,6342,5210,,235,0,8,2,,602,438,,0,0,,,,,,,,,,15298
7/1/2006,Arkansas,2746,,2567,3862,,179,0,2,7,,504,1372,,0,0,,,,,,,,,,11239
7/1/2006,California,14615,,13783,14215,,400,1,0,0,,0,0,,0,0,,,,,,,,,,43014
7/1/2006,Colorado,582,,5931,7540,,381,0,0,0,,0,0,,0,0,,,,,,,,,,14434
7/1/2006,Connecticut,3198,,1678,1481,,38,220,0,0,,0,0,,0,0,,,,,,,,,,6615
7/1/2006,Delaware,0,,416,458,,13,0,0,0,,0,0,,0,0,,,,,,,,,,887
7/1/2006,District of Columbia,0,,0,0,,0,0,0,0,,0,0,,0,0,,,,,,,,,,0
7/1/2006,Florida,0,,16011,10415,,582,1,5,0,,463,335,,0,0,,,,,,,,,,27812
7/1/2006,Georgia,2620,,5659,5916,,251,0,15,34,,873,1137,,0,0,,,,,,,,,,16505
7/1/2006,Guam,0,,18,12,,0,0,0,0,,0,0,,0,0,,,,,,,,,,30
7/1/2006,Hawaii,622,,0,0,,0,0,0,0,,0,0,,0,0,,,,,,,,,,622
7/1/2006,Idaho,1320,,1273,2459,,80,0,0,2,,184,557,,0,0,,,,,,,,,,5875
7/1/2006,Illinois,22097,,4148,5600,,331,0,0,0,,0,0,,0,0,,,,,,,,,,32176
7/1/2006,Indiana,0,,4472,5443,,167,0,0,12,,2,364,,0,0,,,,,,,,,,10460
7/1/2006,Iowa,2585,,16,1733,,0,0,0,1,,2,88,,0,0,,,,,,,,,,4425
7/1/2006,Kansas,0,,2332,2909,,121,0,5,4,,260,374,,0,0,,,,,,,,,,6005
7/1/2006,Kentucky,16783,,4945,5817,,401,28083,4,8,,987,1426,,0,0,,,,,,,,,,58454
7/1/2006,Louisiana,0,,6136,5664,,205,0,2,2,,566,761,,0,0,,,,,,,,,,13336
7/1/2006,Maine,0,,932,1705,,62,0,9,37,,39,81,,0,0,,,,,,,,,,2865
7/1/2006,Mariana Islands,0,,0,0,,0,0,0,0,,0,3,,0,0,,,,,,,,,,3
7/1/2006,Maryland,1639,,440,2568,,4,0,1,1,,33,67,,0,0,,,,,,,,,,4753
7/1/2006,Massachusetts,6490,,1336,925,,52,103,0,0,,0,0,,0,0,,,,,,,,,,8906
7/1/2006,Michigan,9259,,1853,7536,,38,0,0,1,,1,236,,0,0,,,,,,,,,,18924
7/1/2006,Minnesota,5052,,2694,6951,,137,0,1,2,,58,358,,0,0,,,,,,,,,,15253
7/1/2006,Mississippi,97,,3427,4343,,163,0,41,69,,732,959,,0,0,,,,,,,,,,9831
